;sp260223_001 ch: 1907283U1;;sp260223_001 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
288,8504;122,54705;273,3731;87,840969;
289,1393;124,10188;273,6603;74,542558;
289,4282;124,17649;273,9475;73,012378;
289,7171;130,46916;274,2347;76,631153;
290,0060;131,46792;274,5218;81,053559;
290,2948;123,81294;274,8090;75,211165;
290,5837;122,0213;275,0962;84,671492;
290,8726;124,04824;275,3834;85,241699;
291,1615;130,37594;275,6706;82,81279;
291,4504;127,19086;275,9578;77,926881;
291,7393;127,61536;276,2450;80,082283;
292,0282;125,24436;276,5322;70,26869;
292,3171;122,41046;276,8194;82,382314;
292,6060;125,85431;277,1066;68,834602;
292,8949;126,06855;277,3938;80,988912;
293,1838;123,49936;277,6809;77,877137;
293,4727;126,88726;277,9681;78,118417;
293,7616;121,4696;278,2553;82,743684;
294,0505;117,44534;278,5425;81,592796;
294,3394;112,34259;278,8297;81,629524;
294,6283;118,25274;279,1169;85,375188;
294,9171;122,66138;279,4041;82,414171;
295,2060;121,43277;279,6913;78,121359;
295,4949;116,52574;279,9785;76,87524;
295,7838;111,46403;280,2657;80,421499;
296,0727;113,54411;280,5529;83,102979;
296,3616;118,24241;280,8401;78,934326;
296,6505;120,6824;281,1272;78,19576;
296,9394;122,12534;281,4144;77,973272;
297,2283;120,28422;281,7016;80,260532;
297,5172;116,73937;281,9888;80,651093;
297,8061;108,38306;282,2760;77,335202;
298,0950;114,44603;282,5632;78,841957;
298,3839;107,46682;282,8504;76,893533;
298,6728;113,67377;283,1376;75,105473;
298,9617;118,30887;283,4248;77,744234;
299,2506;117,15413;283,7120;71,287028;
299,5394;103,63;283,9992;78,903002;
299,8283;103,74749;284,2863;78,161418;
300,1172;116,98146;284,5735;77,715326;
300,4061;116,00649;284,8607;75,948141;
300,6950;112,5918;285,1479;78,503624;
300,9839;116,23183;285,4351;74,900359;
301,2728;112,18715;285,7223;76,010146;
301,5617;110,8698;286,0095;77,573565;
301,8506;113,92507;286,2967;81,433361;
302,1395;114,05648;286,5839;82,027622;
302,4284;123,23087;286,8711;81,310367;
302,7173;123,68542;287,1583;79,982426;
303,0062;109,29774;287,4455;74,383522;
303,2951;112,92333;287,7326;75,691813;
303,5840;118,59431;288,0198;79,644014;
303,8729;122,17834;288,3070;78,54141;
304,1617;122,03243;288,5942;77,584657;
304,4506;117,88734;288,8814;74,691739;
304,7395;118,70072;289,1686;76,735166;
305,0284;119,12753;289,4558;74,378417;
305,3173;126,63504;289,7430;81,477737;
305,6062;136,90376;290,0302;84,069428;
305,8951;133,43276;290,3174;78,153657;
306,1840;133,06;290,6046;76,523349;
306,4729;136,02059;290,8917;79,657848;
306,7618;146,98084;291,1789;83,574529;
307,0507;145,04698;291,4661;82,264743;
307,3396;130,98593;291,7533;75,646055;
307,6285;134,79764;292,0405;72,363805;
307,9174;136,2856;292,3277;75,46221;
308,2063;119,82213;292,6149;71,254797;
308,4952;114,77066;292,9021;72,120128;
308,7840;113,36036;293,1893;69,066915;
309,0729;109,93404;293,4765;74,675253;
309,3618;110,00013;293,7637;75,490995;
309,6507;114,7728;294,0509;73,025096;
309,9396;114,51344;294,3380;69,363236;
310,2285;105,46159;294,6252;70,924027;
310,5174;101,28132;294,9124;72,806783;
310,8063;101,78772;295,1996;76,811942;
311,0952;109,31918;295,4868;71,378515;
311,3841;112,88079;295,7740;67,623344;
311,6730;102,18316;296,0612;73,93841;
311,9619;107,62445;296,3484;76,767092;
312,2508;108,23579;296,6356;77,457703;
312,5397;102,27572;296,9228;71,124431;
312,8286;96,328644;297,2100;71,605302;
313,1175;92,307741;297,4971;66,762401;
313,4063;104,78579;297,7843;75,296704;
313,6952;107,95407;298,0715;79,963208;
313,9841;96,592709;298,3587;78,015837;
314,2730;95,49521;298,6459;78,292875;
314,5619;102,90597;298,9331;92,224681;
314,8508;107,99462;299,2203;85,450351;
315,1397;98,854704;299,5075;89,344997;
315,4286;98,136533;299,7947;82,739009;
315,7175;92,631048;300,0819;85,151498;
316,0064;98,5067;300,3691;83,347531;
316,2953;95,085498;300,6562;92,669087;
316,5842;94,915962;300,9434;83,984521;
316,8731;96,935682;301,2306;82,494274;
317,1620;87,210026;301,5178;70,922642;
317,4509;101,75585;301,8050;78,04381;
317,7398;94,033726;302,0922;86,604659;
318,0286;103,53515;302,3794;90,993416;
318,3175;100,71254;302,6666;89,933058;
318,6064;89,816018;302,9538;85,899399;
318,8953;97,058494;303,2410;81,733037;
319,1842;97,477382;303,5282;85,204685;
319,4731;105,54194;303,8154;85,921409;
319,7620;101,69351;304,1025;81,948318;
320,0509;96,630893;304,3897;84,680022;
320,3398;96,82542;304,6769;82,255362;
320,6287;96,974627;304,9641;84,183942;
320,9176;100,22083;305,2513;89,908716;
321,2065;99,178928;305,5385;78,670468;
321,4954;99,079618;305,8257;85,970584;
321,7843;100,66337;306,1129;89,083975;
322,0732;98,90855;306,4001;85,031585;
322,3621;97,106032;306,6873;86,888499;
322,6509;90,751916;306,9745;83,895818;
322,9398;96,741552;307,2616;87,546767;
323,2287;91,402477;307,5488;86,254259;
323,5176;103,45271;307,8360;90,61872;
323,8065;95,376796;308,1232;82,948553;
324,0954;95,533182;308,4104;87,761648;
324,3843;95,807511;308,6976;88,040607;
324,6732;97,323518;308,9848;87,171754;
324,9621;95,850849;309,2720;87,580851;
325,2510;109,4009;309,5592;88,959622;
325,5399;107,05091;309,8464;82,382015;
325,8288;96,663681;310,1336;83,335414;
326,1177;97,245389;310,4208;88,504215;
326,4066;87,841364;310,7079;90,355965;
326,6955;94,067205;310,9951;91,998931;
326,9844;95,793448;311,2823;89,340333;
327,2732;93,643122;311,5695;81,431341;
327,5621;97,884054;311,8567;81,60213;
327,8510;99,616414;312,1439;88,327563;
328,1399;97,176609;312,4311;88,462493;
328,4288;95,162761;312,7183;84,719355;
328,7177;97,040677;313,0055;82,810422;
329,0066;99,569236;313,2927;86,468061;
329,2955;95,383279;313,5799;90,03467;
329,5844;94,773039;313,8670;83,297211;
329,8733;96,764718;314,1542;90,072119;
330,1622;94,961361;314,4414;87,381004;
330,4511;94,390108;314,7286;83,991665;
330,7400;92,503122;315,0158;81,32724;
331,0289;96,73207;315,3030;78,041928;
331,3178;111,1305;315,5902;81,104004;
331,6067;109,00122;315,8774;84,501462;
331,8955;100,0312;316,1646;81,938056;
332,1844;98,536151;316,4518;85,740525;
332,4733;104,13323;316,7390;85,267393;
332,7622;101,58342;317,0261;82,922008;
333,0511;110,27343;317,3133;89,155443;
333,3400;103,17762;317,6005;87,700503;
333,6289;112,09135;317,8877;81,829331;
333,9178;106,68634;318,1749;79,266714;
334,2067;98,20548;318,4621;81,547516;
334,4956;97,354007;318,7493;77,791694;
334,7845;111,9605;319,0365;78,20925;
335,0734;101,05792;319,3237;85,240162;
335,3623;134,68187;319,6109;83,151378;
335,6512;112,02507;319,8981;80,351382;
335,9401;99,688955;320,1853;81,22085;
336,2290;98,581402;320,4724;79,767411;
336,5178;100,97512;320,7596;83,666281;
336,8067;103,70919;321,0468;84,642782;
337,0956;106,70549;321,3340;80,223823;
337,3845;102,22744;321,6212;86,525613;
337,6734;103,44702;321,9084;88,678137;
337,9623;109,80645;322,1956;89,157116;
338,2512;110,58719;322,4828;83,547086;
338,5401;105,50006;322,7700;88,119548;
338,8290;108,68976;323,0572;83,419593;
339,1179;126,58015;323,3444;86,038723;
339,4068;123,79741;323,6315;83,375672;
339,6957;101,70576;323,9187;81,383661;
339,9846;102,61219;324,2059;75,347457;
340,2735;107,45127;324,4931;90,872284;
340,5624;104,89148;324,7803;88,405784;
340,8513;102,15601;325,0675;87,656803;
341,1401;101,33756;325,3547;83,892293;
341,4290;108,29451;325,6419;84,342312;
341,7179;110,62135;325,9291;79,685728;
342,0068;118,5367;326,2163;80,595893;
342,2957;112,24062;326,5035;80,45059;
342,5846;103,84452;326,7907;81,394028;
342,8735;102,35252;327,0778;84,017388;
343,1624;104,48604;327,3650;85,008194;
343,4513;107,48787;327,6522;84,388576;
343,7402;100,96427;327,9394;85,415031;
344,0291;95,931445;328,2266;85,968304;
344,3180;92,876057;328,5138;88,408995;
344,6069;83,906;328,8010;92,236357;
344,8958;81,225932;329,0882;88,402986;
345,1847;92,496202;329,3754;83,526417;
345,4736;94,123707;329,6626;83,68893;
345,7624;83,82004;329,9498;81,32255;
346,0513;83,583711;330,2369;85,739345;
346,3402;81,065608;330,5241;82,712977;
346,6291;78,183464;330,8113;77,113004;
346,9180;88,967304;331,0985;80,563276;
347,2069;93,984764;331,3857;83,040605;
347,4958;86,581206;331,6729;83,60339;
347,7847;85,225208;331,9601;82,256327;
348,0736;106,10301;332,2473;90,812813;
348,3625;119,67801;332,5345;85,080964;
348,6514;110,433;332,8217;78,658775;
348,9403;106,32231;333,1089;82,854041;
349,2292;108,58557;333,3960;87,55762;
349,5181;114,71214;333,6832;83,233374;
349,8070;123,61685;333,9704;86,89997;
350,0959;126,58488;334,2576;88,394845;
350,3847;118,37741;334,5448;81,782525;
350,6736;109,76618;334,8320;83,596476;
350,9625;121,71149;335,1192;85,083093;
351,2514;109,26812;335,4064;89,095912;
351,5403;112,04615;335,6936;89,974;
351,8292;102,8635;335,9808;87,29137;
352,1181;111,98885;336,2680;85,587359;
352,4070;108,81269;336,5552;88,548483;
352,6959;119,55922;336,8423;87,028608;
352,9848;128,89466;337,1295;82,429348;
353,2737;133,20069;337,4167;83,092029;
353,5626;148,43562;337,7039;83,858991;
353,8515;152,95717;337,9911;81,528131;
354,1404;164,52202;338,2783;81,958471;
354,4293;189,99492;338,5655;89,913368;
354,7182;180,76115;338,8527;88,141861;
355,0071;190,66407;339,1399;85,748213;
355,2959;198,23438;339,4271;87,664086;
355,5848;194,84031;339,7143;83,954478;
355,8737;186,24371;340,0014;85,612372;
356,1626;175,17854;340,2886;82,758911;
356,4515;166,63113;340,5758;85,222255;
356,7404;156,98855;340,8630;84,849176;
357,0293;139,5602;341,1502;85,738967;
357,3182;138,64545;341,4374;87,643375;
357,6071;146,80994;341,7246;86,655326;
357,8960;147,57284;342,0118;89,795273;
358,1849;148,44547;342,2990;84,855784;
358,4738;144,03826;342,5862;85,294479;
358,7627;140,23362;342,8734;89,055195;
359,0516;134,50405;343,1606;84,962088;
359,3405;133,04403;343,4477;84,025514;
359,6294;131,9585;343,7349;85,41794;
359,9182;128,49515;344,0221;83,460193;
360,2071;129,93426;344,3093;86,346565;
360,4960;132,81658;344,5965;88,70461;
360,7849;127,74257;344,8837;87,539293;
361,0738;138,35586;345,1709;81,999888;
361,3627;135,07319;345,4581;77,152909;
361,6516;139,36089;345,7453;78,688801;
361,9405;129,59221;346,0325;83,794537;
362,2294;124,53991;346,3197;83,388949;
362,5183;134,6109;346,6068;79,807505;
362,8072;136,70466;346,8940;82,557777;
363,0961;135,53154;347,1812;84,018406;
363,3850;142,53314;347,4684;85,461803;
363,6739;139,96577;347,7556;86,973745;
363,9628;138,81618;348,0428;88,036821;
364,2517;147,63173;348,3300;85,761399;
364,5405;153,74606;348,6172;83,013184;
364,8294;155,18698;348,9044;75,321698;
365,1183;152,85466;349,1916;84,358866;
365,4072;158,03464;349,4788;88,250603;
365,6961;163,87174;349,7660;92,037628;
365,9850;168,70185;350,0531;85,407713;
366,2739;176,19905;350,3403;91,452871;
366,5628;179,18466;350,6275;90,473856;
366,8517;181,2721;350,9147;89,545921;
367,1406;189,84366;351,2019;89,026191;
367,4295;193,23348;351,4891;88,901702;
367,7184;191,07119;351,7763;85,886607;
368,0073;200,52675;352,0635;85,609073;
368,2962;212,82721;352,3507;85,794243;
368,5851;214,89519;352,6379;84,808644;
